Film,pourcentages_negative,notes
X,54.73,9.41891891891892
The_Killer,54.05,8.756756756756756
Thanksgiving,53.38,9.337837837837839
Leave_the_World_Behind,47.97,10.39864864864865
Talk_to_Me,47.97,9.925675675675675
Animal,47.97,10.56081081081081
Napoleon,40.54,11.378378378378379
Blue_Beetle,39.19,12.067567567567568
The_Batman,37.84,12.054054054054054
A_Haunting_in_Venice,37.16,12.47972972972973
The_Archies,31.08,13.716216216216216
May_December,27.7,13.871621621621621
Die_Hard,27.03,14.06081081081081
Godzilla_Minus_One,22.97,15.18918918918919
Maestro,21.62,15.533783783783784
Scrooged,18.92,15.64864864864865
Candy_Cane_Lane,18.24,16.0
Asteroid_City,16.22,16.14864864864865
Oppenheimer,15.54,16.2027027027027
Saltburn,14.19,16.47972972972973
Interstellar,13.51,16.756756756756758
Wish,12.16,17.324324324324323
Past_Lives,10.14,17.52027027027027
Spirited,8.78,17.7972972972973
A_Christmas_Story,8.11,17.716216216216218
The_Holdovers,7.43,18.155405405405407
Barbie,6.76,18.175675675675677
The_Shift,6.76,18.12162162162162
Love_and_Monsters,6.08,18.054054054054053
The_Super_Mario_Bros_Movie,6.08,18.39189189189189
Wonka,5.41,18.472972972972972
The_Holiday,4.05,18.885135135135137
Lady_Ballers,3.38,18.85135135135135
