Film,pourcentages_positive,notes
Lady_Ballers,96.62,18.85135135135135
The_Holiday,95.95,18.885135135135137
Wonka,93.92,18.472972972972972
The_Super_Mario_Bros_Movie,93.92,18.39189189189189
Barbie,93.24,18.175675675675677
The_Shift,92.57,18.12162162162162
The_Holdovers,92.57,18.155405405405407
Love_and_Monsters,92.57,18.054054054054053
A_Christmas_Story,91.22,17.716216216216218
Spirited,89.86,17.7972972972973
Past_Lives,88.51,17.52027027027027
Wish,87.84,17.324324324324323
Saltburn,84.46,16.47972972972973
Oppenheimer,84.46,16.2027027027027
Interstellar,84.46,16.756756756756758
Asteroid_City,83.78,16.14864864864865
Candy_Cane_Lane,81.76,16.0
Scrooged,79.73,15.64864864864865
Maestro,78.38,15.533783783783784
Godzilla_Minus_One,76.35,15.18918918918919
Die_Hard,72.97,14.06081081081081
May_December,72.3,13.871621621621621
The_Archies,66.89,13.716216216216216
A_Haunting_in_Venice,62.16,12.47972972972973
The_Batman,61.49,12.054054054054054
Blue_Beetle,60.14,12.067567567567568
Napoleon,58.11,11.378378378378379
Animal,52.03,10.56081081081081
Leave_the_World_Behind,51.35,10.39864864864865
Talk_to_Me,50.68,9.925675675675675
Thanksgiving,45.95,9.337837837837839
The_Killer,45.95,8.756756756756756
X,43.92,9.41891891891892
